,PostalCode,Borough,Neighborhood
0,M3A,North York,Parkwoods
1,M4A,North York,Victoria Village
2,M5A,Downtown Toronto,"Regent Park,Harbourfront"
3,M6A,North York,"Lawrence Manor,Lawrence Heights"
4,M7A,Queen's Park,Queen's Park
5,M9A,Etobicoke,Islington Avenue
6,M1B,Scarborough,"Malvern,Rouge"
7,M3B,North York,Don Mills North
8,M4B,East York,"Parkview Hill,Woodbine Gardens"
9,M5B,Downtown Toronto,"Garden District,Ryerson"
10,M6B,North York,Glencairn
11,M9B,Etobicoke,"West Deane Park,Princess Gardens,Martin Grove,Islington,Cloverdale"
12,M1C,Scarborough,"Port Union,Rouge Hill,Highland Creek"
13,M3C,North York,"Don Mills South,Flemingdon Park"
14,M4C,East York,Woodbine Heights
15,M5C,Downtown Toronto,St. James Town
16,M6C,York,Humewood-Cedarvale
17,M9C,Etobicoke,"Old Burnhamthorpe,Markland Wood,Eringate,Bloordale Gardens"
18,M1E,Scarborough,"West Hill,Morningside,Guildwood"
19,M4E,East Toronto,The Beaches
20,M5E,Downtown Toronto,Berczy Park
21,M6E,York,Caledonia-Fairbanks
22,M1G,Scarborough,Woburn
23,M4G,East York,Leaside
24,M5G,Downtown Toronto,Central Bay Street
25,M6G,Downtown Toronto,Christie
26,M1H,Scarborough,Cedarbrae
27,M2H,North York,Hillcrest Village
28,M3H,North York,"Wilson Heights,Downsview North,Bathurst Manor"
29,M4H,East York,Thorncliffe Park
30,M5H,Downtown Toronto,"Richmond,King,Adelaide"
31,M6H,West Toronto,"Dufferin,Dovercourt Village"
32,M1J,Scarborough,Scarborough Village
33,M2J,North York,"Oriole,Henry Farm,Fairview"
34,M3J,North York,"York University,Northwood Park"
35,M4J,East York,East Toronto
36,M5J,Downtown Toronto,"Union Station,Toronto Islands,Harbourfront East"
37,M6J,West Toronto,"Trinity,Little Portugal"
38,M1K,Scarborough,"Kennedy Park,Ionview,East Birchmount Park"
39,M2K,North York,Bayview Village
40,M3K,North York,"Downsview East,CFB Toronto"
41,M4K,East Toronto,"Riverdale,The Danforth West"
42,M5K,Downtown Toronto,"Toronto Dominion Centre,Design Exchange"
43,M6K,West Toronto,"Parkdale Village,Exhibition Place,Brockton"
44,M1L,Scarborough,"Oakridge,Golden Mile,Clairlea"
45,M2L,North York,"York Mills,Silver Hills"
46,M3L,North York,Downsview West
47,M4L,East Toronto,"India Bazaar,The Beaches West"
48,M5L,Downtown Toronto,"Victoria Hotel,Commerce Court"
49,M6L,North York,"Upwood Park,North Park,Maple Leaf Park"
50,M9L,North York,Humber Summit
51,M1M,Scarborough,"Scarborough Village West,Cliffside,Cliffcrest"
52,M2M,North York,"Willowdale,Newtonbrook"
53,M3M,North York,Downsview Central
54,M4M,East Toronto,Studio District
55,M5M,North York,"Lawrence Manor East,Bedford Park"
56,M6M,York,"Silverthorn,Mount Dennis,Keelesdale,Del Ray"
57,M9M,North York,"Humberlea,Emery"
58,M1N,Scarborough,"Cliffside West,Birch Cliff"
59,M2N,North York,Willowdale South
60,M3N,North York,Downsview Northwest
61,M4N,Central Toronto,Lawrence Park
62,M5N,Central Toronto,Roselawn
63,M6N,York,"Runnymede,The Junction North"
64,M9N,York,Weston
65,M1P,Scarborough,"Wexford Heights,Scarborough Town Centre,Dorset Park"
66,M2P,North York,York Mills West
67,M4P,Central Toronto,Davisville North
68,M5P,Central Toronto,"Forest Hill West,Forest Hill North"
69,M6P,West Toronto,"The Junction South,High Park"
70,M9P,Etobicoke,Westmount
71,M1R,Scarborough,"Wexford,Maryvale"
72,M2R,North York,Willowdale West
73,M4R,Central Toronto,North Toronto West
74,M5R,Central Toronto,"Yorkville,North Midtown,The Annex"
75,M6R,West Toronto,"Roncesvalles,Parkdale"
76,M7R,Mississauga,Canada Post Gateway Processing Centre
77,M9R,Etobicoke,"St. Phillips,Richview Gardens,Martin Grove Gardens,Kingsview Village"
78,M1S,Scarborough,Agincourt
79,M4S,Central Toronto,Davisville
80,M5S,Downtown Toronto,"University of Toronto,Harbord"
81,M6S,West Toronto,"Swansea,Runnymede"
82,M1T,Scarborough,"Tam O'Shanter,Sullivan,Clarks Corners"
83,M4T,Central Toronto,"Summerhill East,Moore Park"
84,M5T,Downtown Toronto,"Kensington Market,Grange Park,Chinatown"
85,M1V,Scarborough,"Steeles East,Milliken,L'Amoreaux East,Agincourt North"
86,M4V,Central Toronto,"Summerhill West,South Hill,Rathnelly,Forest Hill SE,Deer Park"
87,M5V,Downtown Toronto,"South Niagara,Railway Lands,King and Spadina,Harbourfront West,Island airport,Bathurst Quay,CN Tower"
